Name,Data Types,Default Task,Attribute Types,# Instances,# Attributes,Year
Abalone,Multivariate,Classification,"Categorical, Integer, Real",4177.0,8.0,1995.0
Adult,Multivariate,Classification,"Categorical, Integer",48842.0,14.0,1996.0
Annealing,Multivariate,Classification,"Categorical, Integer, Real",798.0,38.0,
Anonymous Microsoft Web Data,,Recommender-Systems,Categorical,37711.0,294.0,1998.0
Arrhythmia,Multivariate,Classification,"Categorical, Integer, Real",452.0,279.0,1998.0
Artificial Characters,Multivariate,Classification,"Categorical, Integer, Real",6000.0,7.0,1992.0
Audiology (Original),Multivariate,Classification,Categorical,226.0,,1987.0
Audiology (Standardized),Multivariate,Classification,Categorical,226.0,69.0,1992.0
Auto MPG,Multivariate,Regression,"Categorical, Real",398.0,8.0,1993.0
Automobile,Multivariate,Regression,"Categorical, Integer, Real",205.0,26.0,1987.0
Badges,"Univariate, Text",Classification,,294.0,1.0,1994.0
Balance Scale,Multivariate,Classification,Categorical,625.0,4.0,1994.0
Balloons,Multivariate,Classification,Categorical,16.0,4.0,
Breast Cancer,Multivariate,Classification,Categorical,286.0,9.0,1988.0
Breast Cancer Wisconsin (Original),Multivariate,Classification,Integer,699.0,10.0,1992.0
Breast Cancer Wisconsin (Prognostic),Multivariate,"Classification, Regression",Real,198.0,34.0,1995.0
Breast Cancer Wisconsin (Diagnostic),Multivariate,Classification,Real,569.0,32.0,1995.0
Pittsburgh Bridges,Multivariate,Classification,"Categorical, Integer",108.0,13.0,1990.0
Car Evaluation,Multivariate,Classification,Categorical,1728.0,6.0,1997.0
Census Income,Multivariate,Classification,"Categorical, Integer",48842.0,14.0,1996.0
Chess (King-Rook vs. King-Knight),"Multivariate, Data-Generator",Classification,"Categorical, Integer",,22.0,1988.0
Chess (King-Rook vs. King-Pawn),Multivariate,Classification,Categorical,3196.0,36.0,1989.0
Chess (King-Rook vs. King),Multivariate,Classification,"Categorical, Integer",28056.0,6.0,1994.0
Chess (Domain Theories),Domain-Theory,,,,,
Bach Chorales,"Univariate, Time-Series",,"Categorical, Integer",100.0,6.0,
Connect-4,"Multivariate, Spatial",Classification,Categorical,67557.0,42.0,1995.0
Credit Approval,Multivariate,Classification,"Categorical, Integer, Real",690.0,15.0,
Japanese Credit Screening,"Multivariate, Domain-Theory",Classification,"Categorical, Real, Integer",125.0,,1992.0
Computer Hardware,Multivariate,Regression,Integer,209.0,9.0,1987.0
Contraceptive Method Choice,Multivariate,Classification,"Categorical, Integer",1473.0,9.0,1997.0
Covertype,Multivariate,Classification,"Categorical, Integer",581012.0,54.0,1998.0
Cylinder Bands,Multivariate,Classification,"Categorical, Integer, Real",512.0,39.0,1995.0
Dermatology,Multivariate,Classification,"Categorical, Integer",366.0,33.0,1998.0
Diabetes,"Multivariate, Time-Series",,"Categorical, Integer",,20.0,
DGP2 - The Second Data Generation Program,Data-Generator,,Real,,,
Document Understanding,,,,,,1994.0
EBL Domain Theories,,,,,,
Echocardiogram,Multivariate,Classification,"Categorical, Integer, Real",132.0,12.0,1989.0
Ecoli,Multivariate,Classification,Real,336.0,8.0,1996.0
Flags,Multivariate,Classification,"Categorical, Integer",194.0,30.0,1990.0
Function Finding,,Function-Learning,Real,352.0,,1990.0
Glass Identification,Multivariate,Classification,Real,214.0,10.0,1987.0
Haberman's Survival,Multivariate,Classification,Integer,306.0,3.0,1999.0
Hayes-Roth,Multivariate,Classification,Categorical,160.0,5.0,1989.0
Heart Disease,Multivariate,Classification,"Categorical, Integer, Real",303.0,75.0,1988.0
Hepatitis,Multivariate,Classification,"Categorical, Integer, Real",155.0,19.0,1988.0
Horse Colic,Multivariate,Classification,"Categorical, Integer, Real",368.0,27.0,1989.0
ICU,"Multivariate, Time-Series",,Real,,,
Image Segmentation,Multivariate,Classification,Real,2310.0,19.0,1990.0
Internet Advertisements,Multivariate,Classification,"Categorical, Integer, Real",3279.0,1558.0,1998.0
Ionosphere,Multivariate,Classification,"Integer, Real",351.0,34.0,1989.0
Iris,Multivariate,Classification,Real,150.0,4.0,1988.0
ISOLET,Multivariate,Classification,Real,7797.0,617.0,1994.0
Kinship,Relational,Relational-Learning,Categorical,104.0,12.0,1990.0
Labor Relations,Multivariate,,"Categorical, Integer, Real",57.0,16.0,1988.0
LED Display Domain,"Multivariate, Data-Generator",Classification,Categorical,,7.0,1988.0
Lenses,Multivariate,Classification,Categorical,24.0,4.0,1990.0
Letter Recognition,Multivariate,Classification,Integer,20000.0,16.0,1991.0
Liver Disorders,Multivariate,,"Categorical, Integer, Real",345.0,7.0,1990.0
Logic Theorist,Domain-Theory,,,,,
Lung Cancer,Multivariate,Classification,Integer,32.0,56.0,1992.0
Lymphography,Multivariate,Classification,Categorical,148.0,18.0,1988.0
Mechanical Analysis,Multivariate,Classification,"Categorical, Integer, Real",209.0,8.0,1990.0
Meta-data,Multivariate,Classification,"Categorical, Integer, Real",528.0,22.0,1996.0
Mobile Robots,Domain-Theory,,"Categorical, Integer, Real",,,1995.0
Molecular Biology (Promoter Gene Sequences),"Sequential, Domain-Theory",Classification,Categorical,106.0,58.0,1990.0
Molecular Biology (Protein Secondary Structure),Sequential,Classification,Categorical,128.0,,
Molecular Biology (Splice-junction Gene Sequences),"Sequential, Domain-Theory",Classification,Categorical,3190.0,61.0,1992.0
MONK's Problems,Multivariate,Classification,Categorical,432.0,7.0,1992.0
Moral Reasoner,Domain-Theory,,,202.0,,1994.0
Multiple Features,Multivariate,Classification,"Integer, Real",2000.0,649.0,
Mushroom,Multivariate,Classification,Categorical,8124.0,22.0,1987.0
Musk (Version 1),Multivariate,Classification,Integer,476.0,168.0,1994.0
Musk (Version 2),Multivariate,Classification,Integer,6598.0,168.0,1994.0
Nursery,Multivariate,Classification,Categorical,12960.0,8.0,1997.0
Othello Domain Theory,Domain-Theory,,,,,1991.0
Page Blocks Classification,Multivariate,Classification,"Integer, Real",5473.0,10.0,1995.0
Optical Recognition of Handwritten Digits,Multivariate,Classification,Integer,5620.0,64.0,1998.0
Pen-Based Recognition of Handwritten Digits,Multivariate,Classification,Integer,10992.0,16.0,1998.0
Post-Operative Patient,Multivariate,Classification,"Categorical, Integer",90.0,8.0,1993.0
Primary Tumor,Multivariate,Classification,Categorical,339.0,17.0,1988.0
Prodigy,Domain-Theory,,,,,
Qualitative Structure Activity Relationships,Domain-Theory,,,,,
Quadruped Mammals,"Multivariate, Data-Generator",Classification,Real,,72.0,1992.0
Servo,Multivariate,Regression,"Categorical, Integer",167.0,4.0,1993.0
Shuttle Landing Control,Multivariate,Classification,Categorical,15.0,6.0,1988.0
Solar Flare,Multivariate,Regression,Categorical,1389.0,10.0,1989.0
Soybean (Large),Multivariate,Classification,Categorical,307.0,35.0,1988.0
Soybean (Small),Multivariate,Classification,Categorical,47.0,35.0,1987.0
